locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
6050,Southport,South East Queensland,AU,2021-07-10T01:00:00+00:00,2021-07-10T11:00:00+10:00,pm10,4.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-10T01:00:00+00:00,2021-07-10T11:00:00+10:00,pm25,3.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-10T01:00:00+00:00,2021-07-10T11:00:00+10:00,o3,0.023,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-10T00:00:00+00:00,2021-07-10T10:00:00+10:00,pm25,3.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-10T00:00:00+00:00,2021-07-10T10:00:00+10:00,pm10,4.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-10T00:00:00+00:00,2021-07-10T10:00:00+10:00,o3,0.019,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T23:00:00+00:00,2021-07-10T09:00:00+10:00,pm10,4.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T23:00:00+00:00,2021-07-10T09:00:00+10:00,pm25,3.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T23:00:00+00:00,2021-07-10T09:00:00+10:00,o3,0.018,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T22:00:00+00:00,2021-07-10T08:00:00+10:00,pm25,3.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T22:00:00+00:00,2021-07-10T08:00:00+10:00,o3,0.018,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T22:00:00+00:00,2021-07-10T08:00:00+10:00,pm10,4.7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T21:00:00+00:00,2021-07-10T07:00:00+10:00,o3,0.018,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T21:00:00+00:00,2021-07-10T07:00:00+10:00,pm10,4.7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T21:00:00+00:00,2021-07-10T07:00:00+10:00,pm25,3.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T20:00:00+00:00,2021-07-10T06:00:00+10:00,pm25,3.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T20:00:00+00:00,2021-07-10T06:00:00+10:00,o3,0.016,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T20:00:00+00:00,2021-07-10T06:00:00+10:00,pm10,4.7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T19:00:00+00:00,2021-07-10T05:00:00+10:00,pm10,4.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T19:00:00+00:00,2021-07-10T05:00:00+10:00,pm25,3.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T19:00:00+00:00,2021-07-10T05:00:00+10:00,o3,0.019,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T18:00:00+00:00,2021-07-10T04:00:00+10:00,pm10,4.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T18:00:00+00:00,2021-07-10T04:00:00+10:00,o3,0.022,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T18:00:00+00:00,2021-07-10T04:00:00+10:00,pm25,3.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T17:00:00+00:00,2021-07-10T03:00:00+10:00,pm25,3.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T17:00:00+00:00,2021-07-10T03:00:00+10:00,pm10,4.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T17:00:00+00:00,2021-07-10T03:00:00+10:00,o3,0.023,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T16:00:00+00:00,2021-07-10T02:00:00+10:00,o3,0.022,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T16:00:00+00:00,2021-07-10T02:00:00+10:00,pm10,4.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T16:00:00+00:00,2021-07-10T02:00:00+10:00,pm25,3.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T15:00:00+00:00,2021-07-10T01:00:00+10:00,o3,0.021,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T15:00:00+00:00,2021-07-10T01:00:00+10:00,pm25,3.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T15:00:00+00:00,2021-07-10T01:00:00+10:00,pm10,4.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T14:00:00+00:00,2021-07-10T00:00:00+10:00,pm25,3.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T14:00:00+00:00,2021-07-10T00:00:00+10:00,pm10,4.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T14:00:00+00:00,2021-07-10T00:00:00+10:00,o3,0.022,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T12:00:00+00:00,2021-07-09T22:00:00+10:00,pm10,4.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T12:00:00+00:00,2021-07-09T22:00:00+10:00,pm25,3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T12:00:00+00:00,2021-07-09T22:00:00+10:00,o3,0.018,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T11:00:00+00:00,2021-07-09T21:00:00+10:00,pm10,4.7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T11:00:00+00:00,2021-07-09T21:00:00+10:00,o3,0.019,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T11:00:00+00:00,2021-07-09T21:00:00+10:00,pm25,3.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T10:00:00+00:00,2021-07-09T20:00:00+10:00,pm10,4.8,µg/m³,-27.9612,153.402
